,density,material_id,unit_cell_formula
190,3.1463185770170647,mp-504451,"{'Cs': 6.0, 'Mn': 2.0, 'Cl': 10.0}"
191,4.113925129860934,mp-866654,"{'Cs': 8.0, 'Mo': 4.0, 'Se': 16.0}"
192,7.057791030875959,mp-4876,"{'Tl': 12.0, 'Sb': 4.0, 'Se': 12.0}"
193,3.5799546811535077,mp-1190886,"{'Cs': 8.0, 'Ag': 4.0, 'Cl': 12.0}"
194,4.429148845429488,mp-23484,"{'Cs': 2.0, 'Au': 2.0, 'Cl': 6.0}"
195,4.27711817712151,mp-610738,"{'Zr': 2.0, 'In': 4.0, 'Br': 12.0}"
196,5.403873159439048,mp-980659,"{'Tl': 6.0, 'Bi': 2.0, 'Cl': 12.0}"
197,4.5249770720023985,mp-23017,"{'Cs': 2.0, 'Cu': 4.0, 'Br': 6.0}"
198,6.183782812976685,mp-676130,"{'Tl': 8.0, 'Sn': 8.0, 'F': 24.0}"
199,3.91542143610679,mp-27373,"{'Sn': 4.0, 'Cl': 4.0, 'F': 4.0}"
200,3.1467286800259937,mp-23465,"{'Cs': 2.0, 'Te': 1.0, 'Cl': 6.0}"
201,3.6296566288309093,mp-23350,"{'Rb': 2.0, 'Pt': 1.0, 'Cl': 6.0}"
202,5.225375559883135,mp-998711,"{'Tl': 2.0, 'Ge': 2.0, 'F': 6.0}"
203,4.820912960899452,mp-606510,"{'Cs': 2.0, 'Ta': 2.0, 'I': 12.0}"
204,3.1796594225272634,mp-27629,"{'Cs': 3.0, 'Sb': 2.0, 'Cl': 9.0}"
205,5.165583589827718,mp-14340,"{'Rb': 4.0, 'Pd': 6.0, 'Se': 8.0}"
206,3.332241311178606,mp-1206568,"{'Cs': 2.0, 'Pd': 1.0, 'Cl': 6.0}"
207,3.208559579742025,mp-1209533,"{'Rb': 4.0, 'Ga': 4.0, 'Br': 16.0}"
208,2.86738132176647,mp-33498,"{'Rb': 4.0, 'Cr': 2.0, 'Cl': 8.0}"
209,3.7997541783943793,mp-571448,"{'Cs': 2.0, 'Pu': 1.0, 'Cl': 6.0}"
210,8.270047811511875,mp-676274,"{'Tl': 9.0, 'Sb': 1.0, 'Se': 6.0}"
211,4.78329558528814,mp-29889,"{'Tl': 2.0, 'Pd': 1.0, 'Cl': 4.0}"
212,3.04639959104064,mp-27830,"{'Cs': 2.0, 'Se': 1.0, 'Cl': 6.0}"
213,4.46411779875368,mp-2969,"{'Cs': 4.0, 'Sb': 4.0, 'Se': 8.0}"
214,8.555398442640442,mp-675989,"{'Tl': 9.0, 'Bi': 1.0, 'Se': 6.0}"
215,3.57271613830353,mp-23425,"{'Cs': 2.0, 'Pb': 1.0, 'Cl': 6.0}"
