material_id,band_gap,density,unit_cell_formula
mp-24034,2.8901,1.5944316664615246,"{'K': 6.0, 'Al': 2.0, 'H': 12.0}"
mp-31097,5.0631,1.224814377220519,"{'K': 4.0, 'Al': 4.0, 'H': 16.0}"
mp-966582,2.7244,1.710863328972034,"{'Ca': 8.0, 'Al': 8.0, 'H': 40.0}"
mp-1209241,5.1401,1.787297451531144,"{'Rb': 4.0, 'Al': 4.0, 'H': 16.0}"
mp-568450,3.501,2.673731153860229,"{'Sr': 4.0, 'Al': 4.0, 'H': 20.0}"
mp-697977,3.1138,2.876024844736408,"{'Sr': 8.0, 'Al': 4.0, 'H': 28.0}"
mp-644097,2.7635,3.392537615995728,"{'Ba': 4.0, 'Al': 4.0, 'H': 20.0}"
mp-698114,2.9596,3.573138536778991,"{'Ba': 8.0, 'Al': 4.0, 'H': 28.0}"
mp-1079283,2.8057,3.6953533991888263,"{'La': 1.0, 'Al': 1.0, 'H': 6.0}"
mp-1079627,2.4529,3.82729588087928,"{'Pr': 1.0, 'Al': 1.0, 'H': 6.0}"
mp-1078999,2.445,3.9696984230545,"{'Nd': 1.0, 'Al': 1.0, 'H': 6.0}"
mp-29549,3.9322,1.100600915971155,"{'Si': 4.0, 'P': 16.0, 'H': 32.0}"
mp-28090,3.3657,1.621563145554345,"{'Si': 8.0, 'H': 8.0, 'S': 12.0}"
mp-28695,2.5734,1.4023476255584535,"{'K': 4.0, 'Si': 4.0, 'H': 12.0}"
mp-28538,4.2096,2.2558150778664583,"{'Si': 4.0, 'H': 12.0, 'I': 4.0}"
mp-27689,4.3612,2.3540322724163016,"{'P': 2.0, 'H': 8.0, 'Br': 2.0}"
mp-24409,3.9619,2.7952309540670037,"{'P': 2.0, 'H': 8.0, 'I': 2.0}"
mp-634676,3.2359,1.663098471143755,"{'K': 2.0, 'H': 2.0, 'S': 2.0}"
mp-696804,3.0844,2.3893699456929385,"{'Rb': 2.0, 'H': 2.0, 'S': 2.0}"
mp-1183955,3.6321,3.345068259049344,"{'Cs': 4.0, 'H': 4.0, 'S': 4.0}"
mp-23859,3.8401,2.490166513287795,"{'Ca': 2.0, 'H': 2.0, 'Cl': 2.0}"
mp-984055,3.6964,2.1757432908779397,"{'Ca': 7.0, 'H': 12.0, 'Cl': 2.0}"
mp-1190111,4.8033,2.302138339970366,"{'Ga': 4.0, 'H': 4.0, 'Cl': 8.0}"
mp-28369,4.7582,1.927690634969138,"{'Ge': 2.0, 'H': 6.0, 'Cl': 2.0}"
mp-23827,3.8999,3.3782972450103994,"{'Sr': 7.0, 'H': 12.0, 'Cl': 2.0}"
mp-23860,4.0417,3.4364753726144737,"{'Sr': 2.0, 'H': 2.0, 'Cl': 2.0}"
mp-23861,3.6646,4.010975195912121,"{'Ba': 2.0, 'H': 2.0, 'Cl': 2.0}"
mp-1070860,0.4213,5.544203929678581,"{'Eu': 2.0, 'H': 2.0, 'Cl': 2.0}"
mp-1070852,4.0752,7.213365684355708,"{'Yb': 2.0, 'H': 2.0, 'Cl': 2.0}"
mp-695998,4.1486,2.0834627400272563,"{'K': 8.0, 'Zn': 4.0, 'H': 16.0}"
mp-696983,4.9429,1.9728235802191227,"{'K': 4.0, 'Ga': 4.0, 'H': 16.0}"
mp-1211633,4.9499,2.0642315954665507,"{'K': 6.0, 'Tc': 3.0, 'H': 27.0}"
mp-643257,2.7306,2.3371233455202187,"{'K': 2.0, 'H': 4.0, 'Pd': 1.0}"
mp-707337,1.7662,2.439933087300614,"{'K': 24.0, 'H': 24.0, 'Pd': 8.0}"
mp-29877,5.2334,3.04617469571157,"{'K': 6.0, 'Re': 3.0, 'H': 27.0}"
mp-643279,4.1698,3.3445888774589063,"{'K': 2.0, 'H': 6.0, 'Pt': 1.0}"
mp-974713,3.3158,3.533128242346622,"{'K': 4.0, 'H': 8.0, 'Pt': 2.0}"
mp-1205964,1.5673,2.7449920654936086,"{'Ca': 2.0, 'Fe': 1.0, 'H': 6.0}"
mp-1213976,4.1832,1.97371154737557,"{'Ca': 2.0, 'Ga': 2.0, 'H': 10.0}"
mp-24422,4.1669,3.252075278723843,"{'Ca': 2.0, 'H': 2.0, 'Br': 2.0}"
mp-1079896,2.5372,3.307089444906287,"{'Ca': 2.0, 'H': 6.0, 'Ru': 1.0}"
mp-984605,0.1118,3.0072163336209954,"{'Ca': 6.0, 'Sn': 2.0, 'H': 4.0}"
mp-24204,3.7585,3.649045659442954,"{'Ca': 2.0, 'H': 2.0, 'I': 2.0}"
mp-697133,3.2244,3.0899303270528837,"{'Cs': 2.0, 'Ca': 1.0, 'H': 4.0}"
mp-1207196,2.7882,4.817191975771118,"{'Ca': 2.0, 'H': 6.0, 'Os': 1.0}"
mp-690799,0.1416,4.68276103393718,"{'Zr': 2.0, 'Ti': 4.0, 'H': 8.0}"
mp-1078746,1.3664,3.806553085137142,"{'Sr': 2.0, 'Fe': 1.0, 'H': 6.0}"
mp-1079126,0.0282,6.296430169664353,"{'Eu': 2.0, 'Fe': 1.0, 'H': 6.0}"
mp-707874,1.449,4.248210633398345,"{'Ba': 14.0, 'Cu': 6.0, 'H': 34.0}"
